N,n_edges,outgoing_edges,outgoing_edges_max,mean,std_dev,samples_n,error,file_name
4,2,[-2\comma 2],2,3.22,2.69,2687133,0.0009999996809009488,0.json
16,2,[-2\comma 2],2,39.98,22.11,1174893,0.0009999994138223838,1.json
16,2,[-4\comma 4],4,23.22,11.68,971564,0.0009999992567298719,2.json
64,3,[-3\comma 3],3,478.65,300.29,1511990,0.0009999995116455325,10.json
64,6,[-3\comma 3],3,288.31,160.99,1197705,0.0009999999684017187,13.json
64,3,[-6\comma 6],6,118.23,64.38,1139204,0.0009999993897817218,11.json
64,6,[-6\comma 6],6,123.98,68.42,1170070,0.0009999993090282825,14.json
64,12,[-6\comma 6],6,99.83,59.21,1351478,0.0009999997877999573,17.json
64,3,[-12\comma 12],12,72.19,37.44,1033490,0.0009999991098474203,12.json
64,6,[-12\comma 12],12,76.20,41.18,1121808,0.000999999358361023,15.json
64,12,[-12\comma 12],12,46.69,25.19,1117763,0.0009999993926080271,18.json
256,4,[-4\comma 4],4,170.15,3340.69,1550685,0.000999999769374193,19.json
256,4,[-8\comma 8],8,1012.87,604.45,1368098,0.0009999995440557147,20.json
256,4,[-16\comma 16],16,499.37,271.54,1135855,0.000999999659876809,21.json
