N,n_edges,outgoing_edges,outgoing_edges_max,mean,std_dev,samples_n,error,file_name
4,2,[-2\comma 2],2,2.23,2.32,167508,0.0049999543110980415,0.json
16,2,[-2\comma 2],2,61.55,37.26,56321,0.0049999877327886084,1.json
16,2,[-4\comma 4],4,35.98,20.72,50946,0.004999999925824508,2.json
16,2,[-8\comma 8],8,34.89,20.76,54416,0.004999922065686252,3.json
16,4,[-2\comma 2],2,27.25,15.60,50383,0.004999979928805571,4.json
16,4,[-4\comma 4],4,21.36,12.61,53548,0.004999946066620487,5.json
16,4,[-8\comma 8],8,17.84,10.70,55317,0.004999919542515485,6.json
16,8,[-4\comma 4],4,10.63,6.48,57150,0.004999982409690214,8.json
16,8,[-8\comma 8],8,8.94,5.39,55834,0.0049999490446037435,9.json
64,3,[-3\comma 3],3,452.94,307.06,70622,0.004999967334469781,10.json
64,3,[-6\comma 6],6,120.16,64.23,43902,0.004999981613491868,11.json
64,3,[-12\comma 12],12,92.95,48.96,42645,0.004999919104837619,12.json
64,6,[-3\comma 3],3,407.73,253.44,59374,0.004999931863818614,13.json
64,6,[-6\comma 6],6,90.01,44.57,37667,0.004999876994842418,14.json
64,6,[-12\comma 12],12,81.44,44.89,46675,0.0049999307831745,15.json
64,12,[-6\comma 6],6,98.22,57.90,53401,0.004999925754885717,17.json
64,12,[-12\comma 12],12,52.06,28.10,44779,0.00499996144486249,18.json
256,4,[-4\comma 4],4,2636.44,1551.21,53194,0.00499998586115563,19.json
256,4,[-8\comma 8],8,612.11,287.46,33891,0.004999859945570322,20.json
256,4,[-16\comma 16],16,489.37,269.35,46551,0.004999955474828057,21.json
256,8,[-4\comma 4],4,2707.27,1493.95,46793,0.004999924547910384,22.json
256,8,[-8\comma 8],8,1301.05,798.42,57868,0.004999960785104667,23.json
256,8,[-16\comma 16],16,481.96,264.38,46237,0.004999951971573115,24.json
256,16,[-8\comma 8],8,1454.76,879.35,56143,0.004999982504255467,26.json
256,16,[-16\comma 16],16,458.97,262.91,50422,0.004999958536626909,27.json
