file-name,N,edges-number,locality-min,locality-max,locality,ps-mu-steps,ps-sigma-steps,ps-distance,d0-steps,d0-distance,d1-steps,d1-distance,d2-steps,d2-distance
0.json,4,2,-2,2,[-2\comma 2],2.23,2.32,1.736E-04,2,2.255E-02,5,1.739E-03,7,9.613E-04
1.json,16,2,-2,2,[-2\comma 2],61.55,37.26,3.859E-03,62,1.042E-03,99,2.985E-04,136,1.470E-04
2.json,16,2,-4,4,[-4\comma 4],35.98,20.72,9.264E-04,36,6.129E-04,57,2.726E-04,77,2.899E-04
3.json,16,2,-8,8,[-8\comma 8],34.89,20.76,2.261E-04,35,2.168E-04,56,2.283E-04,76,3.206E-04
4.json,16,4,-2,2,[-2\comma 2],27.25,15.60,1.039E-03,27,1.299E-03,43,4.285E-04,58,2.254E-04
5.json,16,4,-4,4,[-4\comma 4],21.36,12.61,3.051E-04,21,2.264E-04,34,1.943E-04,47,3.776E-04
6.json,16,4,-8,8,[-8\comma 8],17.84,10.70,3.834E-04,18,2.734E-04,29,1.728E-04,39,2.529E-04
8.json,16,8,-4,4,[-4\comma 4],10.63,6.48,6.585E-04,11,2.585E-04,17,2.702E-04,24,2.961E-04
9.json,16,8,-8,8,[-8\comma 8],8.94,5.39,3.491E-04,9,1.784E-04,14,1.343E-04,20,2.353E-04
10.json,64,3,-3,3,[-3\comma 3],452.94,307.06,2.200E-04,453,5.633E-05,760,5.165E-05,1067,7.025E-05
11.json,64,3,-6,6,[-6\comma 6],120.16,64.23,7.260E-05,120,6.502E-05,184,8.987E-05,249,6.725E-05
12.json,64,3,-12,12,[-12\comma 12],92.95,48.96,9.238E-05,93,7.055E-05,142,6.485E-05,191,6.279E-05
13.json,64,6,-3,3,[-3\comma 3],407.73,253.44,5.269E-05,408,6.801E-05,661,6.105E-05,915,6.912E-05
14.json,64,6,-6,6,[-6\comma 6],90.01,44.57,8.866E-05,90,7.628E-05,135,9.158E-05,179,8.488E-05
15.json,64,6,-12,12,[-12\comma 12],81.44,44.89,7.049E-05,81,8.027E-05,126,6.248E-05,171,7.125E-05
17.json,64,12,-6,6,[-6\comma 6],98.22,57.90,7.531E-05,98,6.156E-05,156,6.606E-05,214,6.901E-05
18.json,64,12,-12,12,[-12\comma 12],52.06,28.10,6.154E-05,52,7.222E-05,80,7.744E-05,108,6.405E-05
19.json,256,4,-4,4,[-4\comma 4],2636.44,1551.21,1.981E-05,2636,4.200E-05,4188,1.960E-05,5739,1.542E-05
20.json,256,4,-8,8,[-8\comma 8],612.11,287.46,2.129E-05,612,2.425E-05,900,1.945E-05,1187,2.043E-05
21.json,256,4,-16,16,[-16\comma 16],489.37,269.35,1.707E-05,489,2.086E-05,759,1.641E-05,1028,1.953E-05
22.json,256,8,-4,4,[-4\comma 4],2707.27,1493.95,1.851E-05,2707,2.185E-05,4201,1.810E-05,5695,2.017E-05
23.json,256,8,-8,8,[-8\comma 8],1301.05,798.42,1.653E-05,1301,1.603E-05,2099,1.699E-05,2898,1.630E-05
24.json,256,8,-16,16,[-16\comma 16],481.96,264.38,1.828E-05,482,1.863E-05,746,1.630E-05,1011,1.805E-05
26.json,256,16,-8,8,[-8\comma 8],1454.76,879.35,1.539E-05,1455,1.569E-05,2334,1.798E-05,3213,1.602E-05
27.json,256,16,-16,16,[-16\comma 16],458.97,262.91,1.763E-05,459,1.637E-05,722,1.806E-05,985,1.796E-05
