N,n_edges,outgoing_edges,outgoing_edges_max,mean,std_dev,samples_n,error,file_name
4,2,[-2\comma 2],2,8.08,6.25,22979,0.009999617716903973,0.json
16,2,[-2\comma 2],2,53.28,32.68,14451,0.009999677279935249,1.json
16,2,[-4\comma 4],4,53.52,31.60,13394,0.009999504176028103,2.json
16,2,[-8\comma 8],8,34.87,21.64,14803,0.009999546433462566,3.json
16,4,[-2\comma 2],2,49.32,33.83,18072,0.00999970620674535,4.json
16,4,[-4\comma 4],4,15.10,8.51,12185,0.009999536229492473,5.json
16,4,[-8\comma 8],8,13.08,7.75,13485,0.00999952871384314,6.json
16,8,[-4\comma 4],4,11.13,6.66,13760,0.009999774396490002,8.json
16,8,[-8\comma 8],8,9.27,5.60,14020,0.00999980126486249,9.json
64,3,[-3\comma 3],3,382.66,232.37,14167,0.009999413994826371,10.json
64,3,[-6\comma 6],6,151.03,86.77,12681,0.009999753186733119,11.json
64,3,[-12\comma 12],12,101.06,54.44,11148,0.009999453070164985,12.json
64,6,[-3\comma 3],3,338.34,209.18,14683,0.00999999366603688,13.json
64,6,[-6\comma 6],6,104.89,59.32,12287,0.009999924532827616,14.json
64,6,[-12\comma 12],12,74.80,40.60,11321,0.009999411050798128,15.json
64,12,[-6\comma 6],6,89.81,49.86,11843,0.009999573479140326,17.json
64,12,[-12\comma 12],12,52.60,28.89,11590,0.009999529343906433,18.json
256,4,[-4\comma 4],4,4165.27,2967.41,19497,0.00999995525991218,19.json
256,4,[-8\comma 8],8,887.70,501.47,12260,0.00999971090774386,20.json
256,4,[-16\comma 16],16,567.84,314.43,11779,0.00999993177076065,21.json
256,8,[-4\comma 4],4,4810.46,3275.94,17816,0.009999825888161566,22.json
256,8,[-8\comma 8],8,1468.65,886.19,13987,0.009999889098192034,23.json
256,8,[-16\comma 16],16,504.66,275.40,11440,0.009999917957117648,24.json
256,16,[-8\comma 8],8,1632.85,1016.37,14884,0.009999810582812685,26.json
256,16,[-16\comma 16],16,451.29,256.98,12458,0.009999288843653259,27.json
