file-name,N,edges-number,locality-min,locality-max,locality,ps-mu-steps,ps-sigma-steps,ps-distance,d0-steps,d0-distance,d1-steps,d1-distance,d2-steps,d2-distance
0.json,4,2,-2,2,[-2\comma 2],3.66,2.73,2.995E-03,4,4.140E-03,6,1.414E-03,9,8.799E-04
1.json,16,2,-2,2,[-2\comma 2],62.50,38.06,4.076E-04,63,5.433E-04,101,6.631E-04,139,4.918E-04
2.json,16,2,-4,4,[-4\comma 4],49.17,28.96,4.108E-04,49,4.705E-04,78,5.440E-04,107,3.845E-04
3.json,16,2,-8,8,[-8\comma 8],43.63,25.29,4.551E-04,44,4.524E-04,69,8.495E-04,94,3.372E-04
4.json,16,4,-2,2,[-2\comma 2],24.29,12.72,2.917E-03,24,7.522E-04,37,6.991E-04,50,4.880E-04
5.json,16,4,-4,4,[-4\comma 4],20.10,12.05,5.089E-04,20,6.161E-04,32,6.033E-04,44,4.086E-04
6.json,16,4,-8,8,[-8\comma 8],15.58,9.12,6.252E-04,16,5.517E-04,25,6.263E-04,34,4.596E-04
8.json,16,8,-4,4,[-4\comma 4],11.75,6.84,6.469E-04,12,7.655E-04,19,5.842E-04,25,6.291E-04
9.json,16,8,-8,8,[-8\comma 8],11.24,6.70,6.146E-04,11,6.021E-04,18,5.559E-04,25,4.934E-04
10.json,64,3,-3,3,[-3\comma 3],658.35,557.75,6.199E-04,658,9.490E-05,1216,1.230E-04,1774,1.057E-04
11.json,64,3,-6,6,[-6\comma 6],146.78,79.78,1.176E-04,147,1.351E-04,227,1.259E-04,306,1.319E-04
12.json,64,3,-12,12,[-12\comma 12],98.13,53.05,1.097E-04,98,1.075E-04,151,1.420E-04,204,1.430E-04
13.json,64,6,-3,3,[-3\comma 3],265.73,146.48,1.300E-04,266,1.214E-04,412,1.386E-04,559,1.460E-04
14.json,64,6,-6,6,[-6\comma 6],127.32,73.04,1.500E-04,127,1.376E-04,200,1.349E-04,273,1.542E-04
15.json,64,6,-12,12,[-12\comma 12],71.54,39.06,1.287E-04,72,1.595E-04,111,1.406E-04,150,1.338E-04
17.json,64,12,-6,6,[-6\comma 6],101.82,61.65,1.241E-04,102,1.250E-04,163,1.229E-04,225,1.243E-04
18.json,64,12,-12,12,[-12\comma 12],51.40,28.15,1.482E-04,51,1.464E-04,80,1.277E-04,108,1.708E-04
19.json,256,4,-4,4,[-4\comma 4],12507.61,11313.11,2.289E-05,12508,2.118E-05,23821,1.929E-05,35134,2.130E-05
20.json,256,4,-8,8,[-8\comma 8],508.87,242.64,4.165E-05,509,4.789E-05,752,4.909E-05,994,3.784E-05
21.json,256,4,-16,16,[-16\comma 16],570.83,315.54,3.359E-05,571,3.560E-05,886,3.646E-05,1202,3.426E-05
22.json,256,8,-4,4,[-4\comma 4],3819.37,2379.74,3.322E-05,3819,3.072E-05,6199,3.153E-05,8579,3.294E-05
23.json,256,8,-8,8,[-8\comma 8],1130.68,660.21,3.631E-05,1131,3.166E-05,1791,3.484E-05,2451,3.627E-05
24.json,256,8,-16,16,[-16\comma 16],461.41,250.55,3.721E-05,461,3.610E-05,712,3.896E-05,963,3.535E-05
26.json,256,16,-8,8,[-8\comma 8],1246.83,698.54,3.389E-05,1247,3.486E-05,1945,3.345E-05,2644,3.491E-05
27.json,256,16,-16,16,[-16\comma 16],462.13,262.77,3.447E-05,462,3.666E-05,725,3.302E-05,988,3.499E-05
